term,layer,layer_name,definition,source,auto_quality_notes,reviewer_verdict,corrected_definition,reviewer_comment,review_date
新闻发布会,layer_2_document_types,政策文书类型与解读形式,党政机关向新闻媒体发布政策信息并接受提问的会议。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
新闻发布,layer_2_document_types,政策文书类型与解读形式,党政机关通过媒体向社会公开传达重要信息的活动。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
答记者问,layer_2_document_types,政策文书类型与解读形式,政府官员就媒体提问进行回答的政策解读形式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
国新办吹风会,layer_2_document_types,政策文书类型与解读形式,国务院新闻办公室向记者介绍政策背景的新闻吹风会。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
国务院政策例行吹风会,layer_2_document_types,政策文书类型与解读形式,国新办定期举办的例行政策解读会议。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
国新办举行,layer_2_document_types,政策文书类型与解读形式,国务院新闻办公室举办的新闻发布会或吹风会。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
国新办就,layer_2_document_types,政策文书类型与解读形式,国务院新闻办公室就某一主题召开的发布会。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
新华时评,layer_2_document_types,政策文书类型与解读形式,新华社发表的时事评论文章，代表官方立场。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
评论员文章,layer_2_document_types,政策文书类型与解读形式,新闻机构评论员撰写的署名评论文章。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
社论,layer_2_document_types,政策文书类型与解读形式,报社就重大事件发表的代表媒体立场的评论文章。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
人民日报评论,layer_2_document_types,政策文书类型与解读形式,《人民日报》发表的具有重要舆论导向的评论。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
学习问答,layer_2_document_types,政策文书类型与解读形式,以问答形式学习政策知识的传播方式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
专家解读文章之,layer_2_document_types,政策文书类型与解读形式,由行业专家撰写的政策解读文章。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
图解,layer_2_document_types,政策文书类型与解读形式,以图片图表为主对政策进行可视化解读的传播方式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
一图读懂,layer_2_document_types,政策文书类型与解读形式,用单张信息图概括政策核心内容的极简图解。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
动漫,layer_2_document_types,政策文书类型与解读形式,以动画漫画进行政策解读和科普宣传的传播方式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
H5,layer_2_document_types,政策文书类型与解读形式,基于HTML5技术的交互式新媒体传播页面。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
视频,layer_2_document_types,政策文书类型与解读形式,以视频形式进行政策宣传解读的传播方式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
海报,layer_2_document_types,政策文书类型与解读形式,以海报形式进行政策宣传和科普教育的传播方式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
长图,layer_2_document_types,政策文书类型与解读形式,以纵向长图呈现信息的可视化内容形式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
速览,layer_2_document_types,政策文书类型与解读形式,对政策核心要点进行快速摘要的解读形式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
划重点,layer_2_document_types,政策文书类型与解读形式,对政策中重点条目进行标注和提炼的解读方式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
快看,layer_2_document_types,政策文书类型与解读形式,面向移动端的快速可读政策解读。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
数读,layer_2_document_types,政策文书类型与解读形式,以数据图表为主的政策解读方式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
图说,layer_2_document_types,政策文书类型与解读形式,以图表为主文字为辅的政策解读方式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
一图速览,layer_2_document_types,政策文书类型与解读形式,一张图快速了解政策全貌的极简形式。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
建议的答复,layer_2_document_types,政策文书类型与解读形式,政府部门对人大代表建议的正式书面回复。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
提案的答复,layer_2_document_types,政策文书类型与解读形式,政府部门对政协提案的正式书面回复。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
人大建议,layer_2_document_types,政策文书类型与解读形式,人大会议期间代表提交的议案或建议。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
政协提案,layer_2_document_types,政策文书类型与解读形式,政协会议期间委员提交的提案。,政策发布形式惯例 / TITLE_BLACKLIST 规则引擎,,,,,
